employee_id,department,job_role,education,marital_status,location,age,gender,hire_date,tenure_days,monthly_salary,commute_miles,work_life_balance,job_satisfaction,num_companies_worked,promotions,overtime,training_hours,is_attrited
EMP_0001,Product,Director,PhD,Married,Seattle,42,Male,2016-04-11,3187,13424.75,7.1,1,4,3,0,1,29,0
EMP_0002,Operations,Supervisor,Associate,Single,Austin,43,Male,2022-12-14,749,6949.08,10.5,2,4,4,1,0,61,0
EMP_0003,Marketing,Director,Bachelor,Married,Chicago,58,Female,2020-08-30,1585,15790.83,1.1,1,4,6,2,1,59,0
EMP_0004,Product,Director,Bachelor,Single,Remote,38,Male,2017-10-18,2632,16260.42,8.9,2,1,7,5,0,61,1
EMP_0005,IT,Support,Bachelor,Single,Seattle,45,Male,2017-02-02,2890,4679.83,4.2,1,3,5,3,0,10,0
EMP_0006,Marketing,Coordinator,Master,Married,Chicago,26,Female,2020-09-19,1565,6308.58,20.0,4,2,1,0,0,87,0
EMP_0007,Finance,Manager,Bachelor,Single,Chicago,22,Male,2019-01-25,2168,12320.08,13.8,3,3,6,2,0,76,0
EMP_0008,Marketing,Manager,Master,Married,Seattle,53,Female,2021-12-07,1121,9621.75,6.3,3,1,4,4,0,5,0
EMP_0009,HR,Director,Associate,Married,Remote,32,Male,2020-07-31,1615,18798.58,4.8,1,1,1,1,0,2,1
EMP_0010,Product,PM,Bachelor,Married,Seattle,54,Male,2016-11-14,2970,8798.67,2.8,4,4,1,1,0,11,0
EMP_0011,Operations,Manager,Bachelor,Single,New York,38,Male,2015-01-02,3652,10762.0,1.5,1,4,1,6,0,16,1
EMP_0012,Product,PM,Bachelor,Married,Remote,43,Male,2022-08-31,854,11084.83,2.6,3,2,5,1,0,89,1
EMP_0013,Marketing,Manager,Associate,Married,Austin,62,Female,2019-07-22,1990,10829.83,19.2,3,4,1,0,1,93,0
EMP_0014,Sales,Sales Manager,Associate,Single,New York,23,Female,2021-04-20,1352,12537.42,24.1,3,3,1,1,1,19,0
EMP_0015,IT,Admin,Master,Married,Chicago,29,Female,2015-04-14,3550,6550.17,1.1,2,1,3,4,1,99,0
EMP_0016,Engineering,Architect,Associate,Single,Austin,29,Female,2016-02-05,3253,12357.83,8.8,3,3,6,3,1,26,0
EMP_0017,Marketing,Specialist,Bachelor,Married,New York,26,Male,2017-03-26,2838,5695.33,1.2,1,4,1,6,0,94,0
EMP_0018,Marketing,Director,Master,Single,Seattle,53,Female,2015-05-08,3526,15265.58,6.0,2,2,3,4,0,1,0
EMP_0019,Sales,SDR,Master,Single,Remote,60,Male,2022-09-07,847,4761.58,4.0,4,1,4,1,1,64,0
EMP_0020,IT,Manager,Bachelor,Single,Chicago,44,Male,2017-04-13,2820,10473.08,12.1,3,1,2,3,0,69,0
EMP_0021,Product,PM,Bachelor,Single,Seattle,26,Male,2017-02-12,2880,8004.83,8.6,3,3,7,1,1,29,0
EMP_0022,Marketing,Coordinator,Bachelor,Married,San Francisco,47,Male,2015-04-27,3537,4431.92,6.6,4,1,1,1,0,47,0
EMP_0023,Engineering,Architect,Master,Married,Seattle,60,Female,2016-08-03,3073,14065.92,6.4,4,2,3,1,0,68,0
EMP_0024,Product,Associate PM,Bachelor,Divorced,Seattle,33,Male,2021-11-26,1132,5356.08,7.4,1,2,6,1,1,99,0
EMP_0025,Sales,Director,Bachelor,Married,San Francisco,53,Female,2018-09-10,2305,17366.75,10.6,4,3,2,0,0,90,0
EMP_0026,HR,Director,Bachelor,Married,New York,54,Female,2019-06-25,2017,16975.08,18.2,4,2,3,1,0,1,0
EMP_0027,Finance,Manager,Bachelor,Single,San Francisco,29,Male,2019-06-14,2028,10032.75,4.0,3,4,2,5,0,72,0
EMP_0028,IT,Manager,Bachelor,Married,Austin,39,Male,2020-11-13,1510,10033.58,27.7,1,4,1,2,0,61,0
EMP_0029,HR,Director,Bachelor,Single,Chicago,57,Male,2015-03-17,3578,15145.58,32.4,3,4,4,4,1,99,0
EMP_0030,Finance,Manager,Master,Single,Seattle,63,Female,2021-09-11,1208,10972.83,6.8,3,1,3,5,0,39,0
EMP_0031,Sales,SDR,Master,Married,Seattle,50,Male,2021-07-14,1267,5094.75,20.9,2,4,1,3,0,60,1
EMP_0032,HR,Generalist,Master,Single,Chicago,60,Male,2015-06-22,3481,4631.83,7.3,2,4,4,5,0,24,0
EMP_0033,IT,Support,Associate,Divorced,Austin,53,Female,2017-03-25,2839,5212.5,8.5,3,4,5,2,0,48,0
EMP_0034,Operations,Manager,Bachelor,Married,Remote,24,Female,2017-11-01,2618,12814.08,1.6,2,4,4,1,0,7,0
EMP_0035,Sales,Director,Bachelor,Single,New York,57,Female,2021-12-24,1104,12968.08,4.3,1,4,5,1,1,5,0
EMP_0036,Sales,Sales Manager,Master,Married,San Francisco,31,Female,2017-05-26,2777,9241.75,6.3,2,1,2,3,1,26,0
EMP_0037,Engineering,Junior Dev,High School,Single,New York,42,Male,2016-06-01,3136,5322.42,8.6,1,2,3,5,0,50,0
EMP_0038,Finance,Analyst,Associate,Divorced,San Francisco,49,Male,2019-04-24,2079,6721.17,8.3,2,3,3,3,1,16,1
EMP_0039,IT,Engineer,High School,Married,Seattle,35,Female,2016-03-10,3219,10470.08,10.6,2,2,2,4,0,87,0
EMP_0040,Product,Director,Bachelor,Married,New York,26,Female,2015-05-18,3516,19004.42,7.8,4,4,5,4,0,22,0
EMP_0041,Product,Director,Associate,Single,Austin,61,Female,2015-10-08,3373,18803.25,7.4,1,4,2,4,0,69,0
EMP_0042,Engineering,Junior Dev,Bachelor,Single,San Francisco,35,Male,2022-10-12,812,5544.58,10.9,3,4,6,0,0,80,0
EMP_0043,Sales,Director,Master,Married,Seattle,36,Male,2015-02-25,3598,16020.5,10.6,3,2,2,2,1,22,0
EMP_0044,Operations,Manager,Bachelor,Single,San Francisco,59,Male,2018-04-30,2438,9711.58,5.7,2,3,1,1,0,24,0
EMP_0045,Engineering,Junior Dev,Bachelor,Married,Chicago,62,Male,2020-11-28,1495,5100.67,14.3,3,4,1,1,0,51,0
EMP_0046,Sales,Director,Bachelor,Married,Seattle,27,Female,2018-08-05,2341,12800.83,3.6,2,3,4,1,1,23,1
EMP_0047,Product,Associate PM,High School,Married,Seattle,57,Female,2015-01-06,3648,5145.17,35.9,4,3,6,8,1,67,0
EMP_0048,Marketing,Director,Bachelor,Single,New York,47,Female,2019-04-23,2080,16673.33,2.7,4,1,3,2,0,9,1
EMP_0049,HR,Generalist,Bachelor,Married,New York,58,Male,2022-09-25,829,6056.0,7.4,3,3,6,0,1,59,0
EMP_0050,HR,Generalist,Associate,Married,New York,55,Male,2019-04-20,2083,6862.33,13.8,4,4,5,1,0,29,0
EMP_0051,Marketing,Coordinator,Associate,Single,Remote,47,Female,2016-08-23,3053,6223.67,6.0,4,4,7,6,0,65,0
EMP_0052,Operations,Coordinator,Master,Married,Chicago,27,Female,2021-09-04,1215,5893.67,12.8,4,3,7,2,1,37,0
EMP_0053,Engineering,Junior Dev,Master,Married,New York,25,Female,2016-05-31,3137,5704.08,5.2,2,1,7,4,0,67,0
EMP_0054,HR,Coordinator,Master,Married,Chicago,57,Male,2020-01-09,1819,5597.75,18.5,2,2,6,1,0,11,0
EMP_0055,Sales,SDR,Associate,Single,New York,61,Female,2015-12-22,3298,5790.75,16.6,1,4,7,3,1,39,0
EMP_0056,Engineering,Senior Dev,Master,Single,Seattle,42,Male,2021-10-03,1186,7173.25,26.4,3,2,7,0,0,46,1
EMP_0057,Engineering,Junior Dev,Bachelor,Married,Seattle,47,Male,2016-07-28,3079,4750.67,20.9,2,2,7,3,0,50,0
EMP_0058,Operations,Director,Bachelor,Single,Seattle,45,Male,2015-10-12,3369,16668.92,11.0,4,2,5,6,0,95,0
EMP_0059,Finance,Accountant,Master,Single,Chicago,53,Male,2016-03-04,3225,6374.83,19.1,3,2,1,4,0,62,0
EMP_0060,HR,Coordinator,Bachelor,Single,Chicago,53,Male,2020-03-16,1752,5434.75,17.1,3,4,2,3,0,71,0
EMP_0061,Operations,Coordinator,Master,Single,New York,49,Male,2020-11-13,1510,6474.58,10.2,2,3,4,1,0,54,1
EMP_0062,IT,Admin,High School,Single,Seattle,40,Male,2017-07-03,2739,6488.75,6.5,2,1,7,3,0,19,0
EMP_0063,Finance,Analyst,Bachelor,Married,San Francisco,56,Female,2022-12-11,752,7005.17,2.2,2,4,3,2,0,13,0
EMP_0064,Engineering,Architect,Bachelor,Married,New York,43,Female,2020-08-13,1602,11369.0,24.1,2,3,5,0,1,84,1
EMP_0065,Sales,Director,Bachelor,Single,Seattle,46,Male,2016-08-10,3066,14143.33,1.1,1,3,1,3,0,9,0
EMP_0066,Finance,Analyst,Bachelor,Married,San Francisco,23,Male,2018-10-18,2267,5442.25,1.9,3,2,5,2,1,38,0
EMP_0067,IT,Engineer,Master,Married,Remote,43,Female,2018-08-05,2341,8095.5,8.8,3,3,4,0,0,97,0
EMP_0068,Engineering,Senior Dev,Bachelor,Single,New York,22,Male,2017-07-27,2715,8860.5,7.2,3,3,2,4,0,48,0
EMP_0069,Finance,Analyst,PhD,Married,Austin,37,Female,2019-12-05,1854,6635.5,15.2,1,2,6,4,1,31,1
EMP_0070,Sales,Director,Master,Single,Seattle,43,Female,2015-12-01,3319,17457.58,4.5,4,4,2,3,0,58,0
EMP_0071,Sales,Sales Manager,High School,Married,Chicago,55,Female,2018-04-09,2459,10029.42,13.9,4,3,7,5,1,65,0
EMP_0072,Product,Senior PM,Master,Single,Seattle,34,Male,2019-06-20,2022,9574.75,62.8,4,1,6,0,0,56,1
EMP_0073,IT,Manager,Bachelor,Married,Remote,46,Male,2015-12-06,3314,11819.08,3.7,3,1,6,4,1,78,0
EMP_0074,Engineering,Tech Lead,Bachelor,Married,Austin,58,Female,2017-07-27,2715,12077.5,41.4,3,2,3,3,0,92,0
EMP_0075,Product,PM,Bachelor,Married,San Francisco,64,Male,2021-03-15,1388,7943.17,32.5,4,2,5,0,1,48,1
EMP_0076,Engineering,Tech Lead,Bachelor,Married,Chicago,63,Male,2017-04-29,2804,12601.42,2.7,4,3,6,2,1,97,0
EMP_0077,Marketing,Coordinator,Bachelor,Single,Seattle,30,Male,2022-08-17,868,6189.75,17.6,4,1,5,1,0,37,0
EMP_0078,IT,Engineer,Master,Married,Remote,58,Male,2017-03-06,2858,7368.75,20.1,4,1,6,5,1,18,0
EMP_0079,IT,Manager,Associate,Single,New York,34,Female,2019-09-13,1937,11560.58,10.6,2,4,7,4,1,52,0
EMP_0080,Operations,Manager,Associate,Married,Remote,34,Male,2015-10-22,3359,9369.08,1.9,3,1,1,5,1,73,0
EMP_0081,Engineering,Architect,Master,Married,Remote,58,Male,2018-05-04,2434,11602.33,15.7,4,3,1,3,0,81,0
EMP_0082,Sales,AE,PhD,Divorced,Austin,56,Female,2021-11-12,1146,5740.42,1.2,2,3,7,1,0,97,1
EMP_0083,Operations,Supervisor,PhD,Married,Seattle,62,Male,2017-06-05,2767,8653.42,4.5,4,2,7,4,0,20,0
EMP_0084,Product,Director,Master,Divorced,Chicago,26,Female,2016-07-23,3084,18785.17,3.6,1,3,1,5,1,52,0
EMP_0085,IT,Engineer,Bachelor,Married,Chicago,50,Male,2016-11-23,2961,10502.67,35.3,4,2,7,2,1,99,1
EMP_0086,Engineering,Senior Dev,Associate,Single,Remote,23,Female,2016-01-30,3259,10235.92,2.6,1,2,6,3,1,32,0
EMP_0087,HR,Generalist,Master,Married,Chicago,45,Male,2022-03-20,1018,7009.08,2.5,4,2,6,0,0,39,0
EMP_0088,IT,Admin,Bachelor,Married,New York,62,Male,2022-03-21,1017,5164.58,6.1,2,2,7,0,1,14,0
EMP_0089,Sales,AE,Associate,Single,Chicago,24,Female,2020-08-18,1597,8475.25,1.5,4,1,2,5,1,79,0
EMP_0090,HR,Generalist,Master,Married,Chicago,62,Male,2015-01-14,3640,4803.08,1.6,3,4,5,6,0,43,0
EMP_0091,Sales,AE,Master,Single,New York,24,Male,2017-01-24,2899,7707.33,1.7,3,3,1,4,0,91,0
EMP_0092,HR,Generalist,PhD,Single,New York,53,Female,2018-06-27,2380,6371.92,7.7,2,3,2,4,0,17,1
EMP_0093,IT,Support,Master,Single,Austin,51,Male,2017-07-28,2714,4240.75,8.2,1,1,6,3,0,88,0
EMP_0094,HR,Generalist,High School,Married,New York,49,Male,2018-06-06,2401,4626.17,9.9,4,4,4,3,0,73,0
EMP_0095,Finance,Accountant,Bachelor,Single,Seattle,41,Female,2022-01-04,1093,6022.67,5.5,4,1,3,2,1,43,0
EMP_0096,IT,Manager,Master,Married,Chicago,41,Male,2017-08-26,2685,10890.25,28.6,1,1,7,1,0,32,1
EMP_0097,Engineering,Tech Lead,High School,Single,Seattle,45,Female,2015-05-06,3528,13848.33,11.2,1,3,7,3,0,44,0
EMP_0098,HR,Director,Master,Married,San Francisco,42,Male,2019-12-05,1854,13804.08,3.7,3,2,7,5,1,75,0
EMP_0099,Marketing,Director,Master,Divorced,New York,40,Female,2019-08-05,1976,15408.58,11.5,2,2,4,1,0,32,0
EMP_0100,Engineering,Junior Dev,Master,Married,Seattle,52,Female,2018-09-09,2306,5237.5,15.5,4,2,3,5,0,88,0
EMP_0101,Finance,Manager,Bachelor,Married,Seattle,40,Male,2019-02-05,2157,11184.17,8.9,3,4,6,0,0,77,0
EMP_0102,Sales,AE,Bachelor,Married,San Francisco,29,Male,2021-11-06,1152,8409.33,17.8,1,4,5,1,0,14,0
EMP_0103,Marketing,Director,Bachelor,Married,Austin,64,Male,2016-02-11,3247,15658.25,23.7,1,4,7,2,1,85,0
EMP_0104,Marketing,Specialist,Associate,Married,Seattle,48,Female,2018-03-25,2474,6373.58,4.7,4,2,2,4,1,38,0
EMP_0105,Finance,Manager,Master,Single,San Francisco,63,Female,2018-01-12,2546,10675.92,17.4,1,4,5,5,0,9,0
EMP_0106,IT,Admin,Bachelor,Divorced,New York,47,Male,2019-05-23,2050,5679.67,18.3,4,3,2,2,0,68,1
EMP_0107,Product,Associate PM,Master,Divorced,Seattle,38,Male,2022-10-23,801,5694.42,10.3,4,3,2,0,0,56,1
EMP_0108,Operations,Coordinator,PhD,Single,Seattle,39,Male,2022-05-08,969,5864.58,12.8,3,4,4,2,1,35,0
EMP_0109,IT,Support,Master,Single,New York,27,Male,2016-12-08,2946,4371.17,18.8,4,1,4,4,0,2,0
EMP_0110,Operations,Supervisor,High School,Married,Remote,38,Female,2019-02-03,2159,7503.67,1.6,4,2,4,3,0,29,0
EMP_0111,Engineering,Tech Lead,Master,Single,Austin,29,Female,2019-08-07,1974,11073.08,2.3,3,4,6,5,0,31,0
EMP_0112,Engineering,Junior Dev,Master,Married,San Francisco,35,Male,2019-08-14,1967,4438.5,5.5,1,2,3,1,1,61,0
EMP_0113,Product,PM,Bachelor,Married,Chicago,43,Male,2015-12-08,3312,10128.75,6.0,4,3,1,2,1,29,0
EMP_0114,Operations,Supervisor,Associate,Single,Remote,30,Male,2022-03-10,1028,6511.0,3.5,2,4,2,2,1,35,0
EMP_0115,Product,PM,Associate,Divorced,Remote,24,Female,2023-01-28,704,8395.42,5.6,4,1,2,1,0,11,0
EMP_0116,IT,Manager,Bachelor,Single,Remote,41,Male,2020-01-26,1802,12331.5,1.0,3,2,2,1,0,82,0
EMP_0117,Sales,AE,Associate,Married,San Francisco,52,Female,2016-04-01,3197,6957.67,2.9,1,1,4,1,1,96,0
EMP_0118,HR,Director,PhD,Married,Austin,50,Female,2015-05-04,3530,18474.08,13.9,1,4,7,3,1,85,0
EMP_0119,Finance,Accountant,Associate,Single,Seattle,59,Male,2022-05-21,956,7227.67,3.1,1,1,5,0,0,84,0
EMP_0120,Finance,Accountant,High School,Single,New York,56,Male,2021-09-08,1211,6590.42,19.6,3,1,2,0,1,81,1
EMP_0121,IT,Engineer,Bachelor,Married,Remote,63,Female,2021-09-10,1209,7582.58,2.1,4,1,1,2,1,57,0
EMP_0122,IT,Manager,Master,Married,San Francisco,29,Female,2021-02-25,1406,9521.33,23.0,3,4,5,0,1,64,0
EMP_0123,Product,Associate PM,High School,Single,Chicago,22,Male,2016-02-12,3246,4487.0,1.4,4,1,2,7,1,7,1
EMP_0124,IT,Admin,High School,Single,Austin,38,Male,2015-12-26,3294,6598.0,5.8,2,3,1,2,1,61,0
EMP_0125,Product,PM,Bachelor,Single,Chicago,61,Male,2017-02-19,2873,10194.08,14.8,4,4,4,1,0,17,0
EMP_0126,Product,Associate PM,Bachelor,Married,Austin,46,Male,2021-09-27,1192,6338.67,12.3,3,2,1,1,1,38,0
EMP_0127,Engineering,Architect,Master,Single,Seattle,42,Female,2015-10-29,3352,14722.75,16.0,4,4,3,4,0,84,0
EMP_0128,Product,Director,Master,Single,Chicago,44,Female,2016-04-05,3193,15540.5,15.2,1,4,3,6,0,15,0
EMP_0129,IT,Support,Master,Divorced,Austin,61,Male,2020-01-30,1798,5041.75,3.3,2,1,6,1,0,12,0
EMP_0130,Engineering,Architect,Bachelor,Married,San Francisco,33,Female,2017-11-03,2616,14841.17,15.2,4,3,3,3,0,3,0
EMP_0131,HR,Generalist,Master,Married,Seattle,59,Male,2020-07-16,1630,5038.92,1.3,2,4,4,1,0,3,1
EMP_0132,Finance,Accountant,Master,Single,San Francisco,25,Male,2022-01-27,1070,7215.0,17.3,3,4,4,0,0,82,1
EMP_0133,Operations,Director,Bachelor,Married,Remote,52,Female,2020-08-28,1587,15721.33,2.6,3,1,7,1,0,91,0
EMP_0134,Marketing,Manager,PhD,Divorced,Seattle,54,Male,2018-07-07,2370,10732.67,3.0,3,2,7,4,0,49,0
EMP_0135,Marketing,Coordinator,Master,Married,Remote,27,Male,2020-03-15,1753,6010.75,1.6,3,2,2,2,1,73,0
EMP_0136,IT,Support,Master,Married,Remote,60,Female,2023-02-26,675,4360.75,14.1,2,1,6,0,0,56,1
EMP_0137,Product,Director,Bachelor,Divorced,Remote,45,Male,2021-09-27,1192,12994.92,4.2,3,4,6,0,0,53,0
EMP_0138,Product,PM,Master,Single,New York,57,Male,2022-03-28,1010,10347.92,9.3,1,4,2,1,1,81,0
EMP_0139,IT,Manager,Bachelor,Single,Seattle,63,Female,2017-06-14,2758,11309.83,7.8,1,2,5,3,1,11,1
EMP_0140,Engineering,Junior Dev,Associate,Single,Austin,63,Male,2016-08-20,3056,5053.33,8.4,1,1,2,5,1,73,0
EMP_0141,Finance,Analyst,Master,Married,San Francisco,31,Male,2020-03-18,1750,6166.25,14.8,4,4,7,3,1,63,0
EMP_0142,IT,Engineer,Master,Married,Austin,43,Male,2022-08-23,862,10375.17,22.2,4,2,3,2,0,65,1
EMP_0143,Engineering,Architect,Bachelor,Divorced,New York,63,Male,2017-02-12,2880,12717.08,7.0,3,2,3,4,1,35,0
EMP_0144,Finance,Analyst,Bachelor,Married,Remote,61,Male,2022-11-15,778,6785.0,16.8,3,4,3,0,1,39,0
EMP_0145,Operations,Coordinator,Bachelor,Single,Seattle,53,Female,2016-09-04,3041,5240.67,10.6,2,3,1,7,1,94,0
EMP_0146,Marketing,Manager,Associate,Married,Chicago,54,Male,2020-04-23,1714,12506.08,1.8,1,3,5,1,1,5,0
EMP_0147,Marketing,Director,Bachelor,Married,Austin,30,Male,2018-06-03,2404,18279.92,22.2,2,2,5,1,1,34,0
EMP_0148,HR,Generalist,Bachelor,Married,San Francisco,32,Female,2017-06-14,2758,5463.0,19.4,3,2,7,1,1,33,1
EMP_0149,Sales,Sales Manager,Bachelor,Single,Remote,30,Female,2020-08-10,1605,12266.67,4.3,3,3,4,1,0,20,0
EMP_0150,Marketing,Coordinator,Bachelor,Married,Remote,57,Female,2016-07-04,3103,6066.58,1.6,3,2,3,3,0,37,0
EMP_0151,Operations,Director,Bachelor,Single,Chicago,51,Female,2019-03-11,2123,15602.17,1.4,4,2,2,2,1,2,0
EMP_0152,Sales,Sales Manager,Master,Single,Remote,30,Male,2018-10-30,2255,10897.0,11.1,4,2,6,1,0,8,1
EMP_0153,IT,Support,Bachelor,Single,Chicago,56,Male,2021-07-09,1272,4935.08,1.5,4,4,2,3,0,92,0
EMP_0154,Operations,Coordinator,Bachelor,Married,Chicago,42,Male,2018-09-10,2305,4817.67,3.5,4,1,5,0,1,67,0
EMP_0155,Marketing,Coordinator,High School,Divorced,Seattle,44,Male,2021-07-07,1274,6299.0,7.2,3,1,3,2,0,19,0
EMP_0156,Engineering,Junior Dev,Bachelor,Married,Austin,49,Male,2020-10-24,1530,4901.58,11.6,2,4,2,2,0,85,0
EMP_0157,Engineering,Senior Dev,Bachelor,Married,San Francisco,48,Male,2015-12-28,3292,10190.25,5.0,1,3,6,2,0,48,0
EMP_0158,Operations,Coordinator,Associate,Single,Austin,54,Male,2015-12-07,3313,5236.67,3.5,2,3,6,2,0,87,0
EMP_0159,Finance,Manager,Master,Married,Seattle,32,Male,2017-06-25,2747,9091.67,4.2,1,4,4,5,1,91,0
EMP_0160,Sales,SDR,High School,Married,Remote,44,Male,2020-02-19,1778,5311.92,2.2,2,1,7,1,0,39,0
EMP_0161,HR,Coordinator,High School,Single,New York,60,Male,2015-04-15,3549,5704.5,22.9,1,2,6,5,1,37,0
EMP_0162,Marketing,Director,PhD,Married,New York,33,Male,2020-01-31,1797,13319.58,6.1,1,1,6,2,1,27,0
EMP_0163,Finance,Accountant,Master,Married,Seattle,30,Male,2017-11-19,2600,6568.0,17.0,3,3,4,2,1,31,0
EMP_0164,Sales,Sales Manager,Bachelor,Married,New York,45,Male,2021-10-23,1166,9245.25,11.4,1,4,1,1,0,59,1
EMP_0165,Sales,Director,High School,Married,Chicago,32,Male,2020-01-04,1824,18468.17,8.6,4,4,4,1,0,49,0
